Date/Time,AQI,PM2.5,PM10,CO,NO2,O3
01-04-2024,2,22.6,46.71,340.46,5.27,73.67
01-04-2024,2,22.98,44.6,370.5,6.17,73.67
01-04-2024,2,24.73,45.22,433.92,8.23,72.96
01-04-2024,3,26.52,46.58,494,9,78.68
01-04-2024,3,28.14,47.84,487.33,7.03,98.71
01-04-2024,3,33.02,52.61,507.35,5.57,125.89
01-04-2024,4,39.35,58.75,507.35,3.9,157.36
01-04-2024,3,28.54,58.67,330.45,1.33,138.76
01-04-2024,3,26.03,62.8,287.06,0.87,127.32
01-04-2024,3,25.2,64.16,273.7,0.78,123.02
01-04-2024,3,23.83,62.57,267.03,0.79,121.59
01-04-2024,3,22.76,59.44,267.03,1.01,124.45
01-04-2024,3,22.53,57.29,273.7,1.39,128.75
01-04-2024,3,23.35,56.57,300.41,3.26,125.89
01-04-2024,3,24.34,53.74,337.12,5.31,115.87
01-04-2024,3,24.65,49.38,360.49,6.25,108.72
01-04-2024,3,25.85,47.1,393.87,7.11,100.14
01-04-2024,3,27.36,47.12,427.25,8.4,91.55
01-04-2024,3,27.79,47.02,433.92,9.08,84.4
01-04-2024,3,27.38,45.91,417.23,9.51,76.53
01-04-2024,3,27.84,46.6,417.23,9.51,69.38
01-04-2024,3,28.83,48.49,417.23,8.91,67.23
01-04-2024,3,29.64,51.28,413.89,8.23,69.38
01-04-2024,3,30.27,53.94,410.56,7.88,70.81
02-04-2024,3,31.18,56.6,427.25,8.57,70.1
02-04-2024,3,33.52,60.95,487.33,10.97,67.23
02-04-2024,3,37.17,67.16,607.49,15.77,60.8
02-04-2024,3,39.64,71.26,694.27,18.16,65.8
02-04-2024,3,34.09,65.94,494,9.17,118.73
02-04-2024,4,36.67,67.42,467.3,6.34,147.34
02-04-2024,5,42.79,72.78,460.62,4.71,180.24
02-04-2024,4,24.6,57.84,283.72,1.24,144.48
02-04-2024,3,18.68,48.34,253.68,0.87,131.61
02-04-2024,3,17.15,43.92,247,0.9,125.89
02-04-2024,3,16.47,41.55,243.66,0.9,123.02
02-04-2024,3,15.74,40.09,243.66,1,120.16
02-04-2024,3,15.46,39.6,247,1.24,117.3
02-04-2024,3,17.32,41.63,323.77,6.34,101.57
02-04-2024,2,20.47,45.43,417.23,12.85,79.39
02-04-2024,2,23.22,49.51,467.3,16.28,64.37
02-04-2024,3,26.5,54.54,527.38,18.85,57.22
02-04-2024,3,30.14,59.75,620.84,21.76,52.21
02-04-2024,3,32.63,62.58,707.63,23.31,49.35
02-04-2024,3,32.85,62.57,734.33,21.93,47.92
02-04-2024,3,32.97,62.68,714.3,19.88,44.35
02-04-2024,3,32.33,61.93,667.57,17.99,40.41
02-04-2024,3,31.04,60,607.49,16.62,38.62
02-04-2024,3,30.37,59.62,540.73,15.08,40.41
03-04-2024,3,32.79,64.5,480.65,12.68,46.49
